Categoría: Todas las categorías

Semana,Adidas running: (Canadá),Nike running: (Canadá),Hoka Running: (Canadá),Saucony Running: (Canadá),Asics Running: (Canadá)
2023-09-10,17,58,27,11,24
2023-09-17,22,51,28,13,24
2023-09-24,19,51,26,10,14
2023-10-01,17,55,29,11,20
2023-10-08,17,49,20,14,19
2023-10-15,12,47,24,13,21
2023-10-22,13,47,20,8,16
2023-10-29,14,44,21,10,18
2023-11-05,17,41,21,15,15
2023-11-12,17,46,23,14,18
2023-11-19,21,71,29,20,31
2023-11-26,17,54,25,9,22
2023-12-03,12,47,20,9,18
2023-12-10,14,41,23,7,15
2023-12-17,12,39,20,7,15
2023-12-24,18,69,40,18,31
2023-12-31,18,50,32,12,24
2024-01-07,11,44,25,11,17
2024-01-14,12,42,24,10,11
2024-01-21,15,40,27,10,15
2024-01-28,14,51,26,13,21
2024-02-04,14,50,28,12,19
2024-02-11,21,47,27,12,20
2024-02-18,18,53,26,12,24
2024-02-25,20,52,27,16,19
2024-03-03,20,61,39,16,26
2024-03-10,19,70,35,15,29
2024-03-17,20,57,34,14,26
2024-03-24,20,67,28,13,28
2024-03-31,25,76,42,15,30
2024-04-07,21,78,42,17,30
2024-04-14,27,88,38,19,39
2024-04-21,26,86,39,19,34
2024-04-28,25,83,40,16,33
2024-05-05,31,81,37,24,40
2024-05-12,23,75,43,17,30
2024-05-19,24,71,36,19,30
2024-05-26,21,66,38,18,30
2024-06-02,25,69,39,18,30
2024-06-09,21,70,35,20,32
2024-06-16,22,63,33,19,26
2024-06-23,19,59,33,18,23
2024-06-30,19,60,36,16,33
2024-07-07,22,58,31,14,27
2024-07-14,19,56,32,13,27
2024-07-21,21,57,27,11,25
2024-07-28,17,67,26,13,25
2024-08-04,21,79,33,16,31
2024-08-11,32,81,32,16,34
2024-08-18,22,80,36,17,34
2024-08-25,26,69,31,18,31
2024-09-01,24,66,30,15,34
2024-09-08,22,63,30,14,33
2024-09-15,20,65,30,13,28
2024-09-22,20,60,28,14,28
2024-09-29,18,53,28,15,22
2024-10-06,17,57,25,17,24
2024-10-13,19,54,26,13,25
2024-10-20,14,48,25,15,25
2024-10-27,14,51,20,14,27
2024-11-03,14,51,25,12,22
2024-11-10,16,57,30,15,21
2024-11-17,19,65,28,15,25
2024-11-24,22,77,47,23,33
2024-12-01,22,50,32,12,25
2024-12-08,16,47,22,10,17
2024-12-15,15,48,19,11,16
2024-12-22,21,58,36,18,29
2024-12-29,18,57,26,12,26
2025-01-05,18,47,25,11,22
2025-01-12,16,51,25,13,22
2025-01-19,19,43,27,9,19
2025-01-26,13,49,27,15,25
2025-02-02,18,47,20,8,21
2025-02-09,15,38,23,11,23
2025-02-16,16,47,23,12,20
2025-02-23,16,46,25,11,22
2025-03-02,20,56,31,15,29
2025-03-09,21,61,35,17,31
